Product Name,RAM,Display,Camera,Battery,Warranty,Price,Rating
"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,7000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹23,999",4.2
"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,7000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹23,999",4.2
"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,7000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹23,999",4.2
"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,64MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹19,999",4.2
"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹11,499",4.2
"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹12,499",4.3
"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,6000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹14,999",4.2
"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,64MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹17,999",4.3
"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹11,499",4.2
"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,6000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹12,999",4.2
